Performance,
"
Client macro f1:",0.5456862142529606
"
Confusion Matrix:","[[39 15  5 13  8  6]
 [ 5 42 15 12 14  4]
 [ 0  3 85 32  4  1]
 [ 1  1 14 96  7  2]
 [ 3  6  8 28 57 14]
 [ 7 10 11 16 37 55]]"
